,name,total_loss,gender_loss,age_loss,gender_acc,age_acc
0,Scratch-AFAD-Full-Age-R50-MultiOutput-gender.h5,0.830935478,0.069331616,0.761604249,0.97918427,0.667341411
1,Scratch-AFAD-Full-Age-R50-MultiOutput-age.h5,0.833750427,0.07760562,0.756144643,0.977824748,0.67205441
2,Scratch-AFAD-Full-Age-R50-MultiOutput-last.h5,0.832802594,0.076284073,0.756518066,0.977703929,0.669214487
3,SupCon-AFAD-Full-Age-R50-MultiOutput-gender.h5,0.830445349,0.072189204,0.758256853,0.98148036,0.663987935
4,SupCon-AFAD-Full-Age-R50-MultiOutput-age.h5,0.839663863,0.072133459,0.767529786,0.981178224,0.666283965
5,SupCon-AFAD-Full-Age-R50-MultiOutput-last.h5,0.840112567,0.078995228,0.761117816,0.980936527,0.663685799
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,0.97918427,0.67205441
,,,,,0.98148036,0.666283965
