,name,total_loss,gender_loss,race_loss,age_loss,gender_acc,race_acc,age_acc
0,Scratch-FairFace-Age-R50-MultiOutput-gender.h5,1.900441289,0.205843046,0.655793667,1.038805008,0.917564332,0.757622778,0.558608711
1,Scratch-FairFace-Age-R50-MultiOutput-race.h5,1.939784288,0.217525259,0.663319826,1.05893898,0.913730145,0.758535683,0.563812315
2,Scratch-FairFace-Age-R50-MultiOutput-age.h5,1.918587804,0.216924667,0.662204564,1.039458871,0.915829837,0.761822164,0.567190051
3,Scratch-FairFace-Age-R50-MultiOutput-last.h5,1.995126963,0.225483686,0.689609647,1.080034018,0.912908554,0.7556144,0.55879128
4,Scratch-SupCon-FairFace-Temp0p1-MultiOutput-gender.h5,1.976357102,0.242008835,0.68300128,1.051347136,0.926693439,0.763282835,0.566003263
5,Scratch-SupCon-FairFace-Temp0p1-MultiOutput-race.h5,2.02013731,0.257819116,0.701567411,1.060751081,0.925050199,0.76766479,0.56472522
6,Scratch-SupCon-FairFace-Temp0p1-MultiOutput-age.h5,2.017017603,0.266962439,0.693900526,1.056154251,0.926054418,0.763465405,0.572119772
7,Scratch-SupCon-FairFace-Temp0p1-MultiOutput-last.h5,1.991798639,0.247203633,0.691272676,1.053322196,0.925324082,0.762826383,0.569198489
,,,,,,,,
,,,,,,,,
,,,,,,0.917564332,0.761822164,0.567190051
,,,,,,0.926693439,0.76766479,0.572119772
,,,,,,0.9129107,0.584262609,0.492972136
